Date,Time,1,2,3,4,5,6,7,8,9,10,11,12
13-Oct,10:40,6.91,6.9,6.89,6.9,6.89,6.87,6.67,6.67,6.67,6.63,6.65,6.64
13-Oct,14:10,6.72,6.72,6.72,6.72,6.74,6.74,6.49,6.51,6.5,6.38,6.45,6.44
13-Oct,18:40,6.7,6.7,6.7,6.71,6.71,6.71,6.15,6.21,6.23,6.13,6.22,6.21
14-Oct,1:20,6.68,6.68,6.68,6.69,6.7,6.69,4.97,5.11,5.04,4.94,5.06,5
14-Oct,7:30,6.69,6.68,6.67,6.68,6.68,6.69,4.63,4.63,4.63,4.63,4.64,4.59
14-Oct,17:10,6.6,6.65,6.63,6.68,6.68,6.68,4.51,4.5,4.49,4.5,4.5,4.47
14-Oct,23:50,6.35,6.45,6.47,6.67,6.65,6.67,4.37,4.46,4.45,4.45,4.43,4.45
15-Oct,13:10,6.37,6.39,6.4,6.4,6.41,6.45,4.32,4.44,4.42,4.4,4.38,4.31
15-Oct,21:50,6.32,6.36,6.37,6.37,6.44,6.33,4.35,4.33,4.34,4.38,4.36,4.33
16-Oct,13:00,5.6,5.89,5.77,6.16,6.14,6.15,4.38,4.36,4.34,4.38,4.3,4.29
17-Oct,0:20,4.68,4.81,4.78,5.73,5.77,6.02,4.29,4.26,4.26,4.27,4.28,4.26
17-Oct,8:00,4.5,4.53,4.52,4.85,4.99,5.44,4.24,4.23,4.24,4.27,4.27,4.25
18-Oct,0:30,4.52,4.46,4.46,4.54,4.6,4.7,4.25,4.25,4.24,4.24,4.25,4.23
18-Oct,11:00,4.37,4.4,4.44,4.48,4.53,4.63,4.24,4.23,4.24,4.24,4.23,4.23
19-Oct,1:00,4.37,4.38,4.41,4.44,4.49,4.57,4.24,4.23,4.23,4.24,4.23,4.23
19-Oct,12:30,4.37,4.36,4.37,4.38,4.44,4.52,4.24,4.23,4.23,4.24,4.23,4.22
20-Oct,1:10,4.32,4.33,4.35,4.35,4.41,4.48,4.24,4.24,4.23,4.24,4.24,4.23
20-Oct,10:20,4.34,4.31,4.33,4.34,4.38,4.48,4.25,4.25,4.24,4.24,4.24,4.23
20-Oct,23:20,4.33,4.31,4.32,4.34,4.38,4.45,4.26,4.25,4.24,4.25,4.25,4.24
21-Oct,12:40,4.3,4.29,4.31,4.33,4.37,4.43,4.26,4.25,4.25,4.26,4.26,4.25
21-Oct,23:00,4.27,4.28,4.31,4.34,4.36,4.44,4.27,4.26,4.25,4.27,4.27,4.25
22-Oct,13:10,4.31,4.3,4.32,4.35,4.37,4.44,4.27,4.27,4.27,4.27,4.27,4.26
23-Oct,0:00,4.31,4.3,4.33,4.36,4.3,4.44,4.28,4.28,4.27,4.28,4.28,4.26
23-Oct,12:00,4.31,4.3,4.32,4.37,4.38,4.44,4.28,4.28,4.27,4.28,4.28,4.27
24-Oct,0:00,4.31,4.3,4.33,4.36,4.39,4.44,4.28,4.28,4.28,4.28,4.28,4.27
24-Oct,11:30,4.31,4.3,4.33,4.39,4.4,4.46,4.28,4.28,4.28,4.28,4.29,4.28
25-Oct,0:10,4.31,4.28,4.32,4.38,4.39,4.45,4.27,4.28,4.28,4.29,4.28,4.27
25-Oct,13:20,4.31,4.3,4.33,4.39,4.42,4.47,4.28,4.29,4.28,4.3,4.28,4.26
26-Oct,1:50,4.32,4.3,4.33,4.38,4.42,4.47,4.28,4.29,4.3,4.3,4.31,4.26
26-Oct,14:00,4.32,4.29,4.32,4.39,4.43,4.47,4.28,4.3,4.29,4.3,4.28,4.26
26-Oct,22:30,4.34,4.31,4.32,4.39,4.43,4.47,4.28,4.29,4.28,4.3,4.29,4.27
27-Oct,11:00,4.34,4.31,4.34,4.4,4.43,4.47,4.28,4.29,4.3,4.3,4.28,4.27
28-Oct,0:30,4.35,4.31,4.33,4.44,4.46,4.49,4.28,4.3,4.31,4.31,4.28,4.27
28-Oct,13:50,4.37,4.32,4.36,4.45,4.47,4.5,4.27,4.32,4.31,4.31,4.3,4.26
29-Oct,10:10,4.35,4.32,4.35,4.44,4.48,4.51,4.28,4.32,4.31,4.3,4.3,4.23
29-Oct,23:50,4.34,4.31,4.35,4.42,4.47,4.51,4.27,4.3,4.32,4.3,4.28,4.19
30-Oct,22:50,4.32,4.33,4.36,4.44,4.48,4.53,4.27,4.31,4.31,4.3,4.29,4.22
1-Nov,0:00,4.32,4.33,4.36,4.41,4.49,4.53,4.27,4.31,4.31,4.28,4.28,4.23
2-Nov,1:10,4.37,4.36,4.37,4.44,4.49,4.54,4.31,4.33,4.33,4.3,4.3,4.23
3-Nov,0:50,4.33,4.33,4.37,4.42,4.46,4.57,4.28,4.33,4.32,4.3,4.28,4.23
5-Nov,2:10,4.34,4.33,4.37,4.39,4.46,4.58,4.3,4.33,4.32,4.3,4.31,4.23
6-Nov,0:50,4.36,4.34,4.38,4.38,4.45,4.59,4.32,4.36,4.32,4.31,4.32,4.26
7-Nov,1:50,4.36,4.35,4.37,4.39,4.48,4.62,4.33,4.36,4.34,4.31,4.32,4.24
8-Nov,1:40,4.39,4.35,4.39,4.37,4.46,4.59,4.34,4.35,4.34,4.3,4.31,4.24
10-Nov,0:00,4.39,4.36,4.41,4.38,4.49,4.66,4.32,4.39,4.34,4.39,4.33,4.29
12-Nov,2:40,4.38,4.36,4.42,4.43,4.53,4.7,4.34,4.38,4.36,4.36,4.37,4.31
14-Nov,0:00,4.54,4.4,4.48,4.43,4.54,4.8,4.33,4.4,4.36,4.4,4.38,4.32
20-Nov,22:00,5.08,4.71,4.76,4.61,4.73,5.06,4.37,4.53,4.52,4.52,4.47,4.52
23-Nov,2:20,5.11,5,5.01,4.5,5.03,5.27,4.5,4.59,4.54,4.54,4.53,4.45
28-Nov,1:30,5.28,5.32,5.32,5.28,5.32,5.2,5.28,5.71,5.85,5.65,5.18,5.6

